,delta_t,Length(m),mu,angle(rad),gravity,total_time,period_time,experiment_period_time,Difference
0,0.1,0.48,0.9,0.3490658503988659,9.80665,10.0,2.0000000000000004,1.4282,-0.5718000000000005
0,0.01,0.48,0.9,0.3490658503988659,9.80665,10.0,1.5674999999999777,1.4282,-0.13929999999997777
0,0.001,0.48,0.9,0.3490658503988659,9.80665,10.0,1.4643333333334283,1.4282,-0.036133333333428386
0,0.0001,0.48,0.9,0.3490658503988659,9.80665,10.0,1.45738333333216,1.4282,-0.029183333332160055
0,0.1,0.38,0.0,0.3490658503988659,9.80665,10.0,1.4000000000000001,1.2994,-0.10060000000000002
0,0.01,0.38,0.0,0.3490658503988659,9.80665,10.0,1.2742857142856934,1.2994,0.02511428571430674
0,0.001,0.38,0.0,0.3490658503988659,9.80665,10.0,1.2477499999999884,1.2994,0.05165000000001174
0,0.0001,0.38,0.0,0.3490658503988659,9.80665,10.0,1.2464499999987624,1.2994,0.05295000000123773
0,0.1,0.38,0.1,0.3490658503988659,9.80665,10.0,1.4000000000000001,1.2994,-0.10060000000000002
0,0.01,0.38,0.1,0.3490658503988659,9.80665,10.0,1.2785714285714076,1.2994,0.020828571428592513
0,0.001,0.38,0.1,0.3490658503988659,9.80665,10.0,1.2486249999999879,1.2994,0.05077500000001223
0,0.0001,0.38,0.1,0.3490658503988659,9.80665,10.0,1.2472124999987606,1.2994,0.052187500001239506
0,0.1,0.38,0.2,0.3490658503988659,9.80665,10.0,1.4000000000000001,1.2994,-0.10060000000000002
0,0.01,0.38,0.2,0.3490658503988659,9.80665,10.0,1.2842857142856932,1.2994,0.015114285714306952
0,0.001,0.38,0.2,0.3490658503988659,9.80665,10.0,1.2500000000000842,1.2994,0.049399999999915956
0,0.0001,0.38,0.2,0.3490658503988659,9.80665,10.0,1.2486499999987573,1.2994,0.050750000001242856
0,0.1,0.38,0.3,0.3490658503988659,9.80665,10.0,1.4000000000000001,1.2994,-0.10060000000000002
0,0.01,0.38,0.3,0.3490658503988659,9.80665,10.0,1.2971428571428358,1.2994,0.0022571428571642738
0,0.001,0.38,0.3,0.3490658503988659,9.80665,10.0,1.2525714285715115,1.2994,0.04682857142848862
0,0.0001,0.38,0.3,0.3490658503988659,9.80665,10.0,1.2508857142847045,1.2994,0.04851428571529559
0,0.1,0.38,0.4,0.3490658503988659,9.80665,10.0,1.4000000000000001,1.2994,-0.10060000000000002
